name,ttm,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
		NetIncomeIncludingNoncontrollingInterests,"2,039,361,447,980","2,039,361,447,980","1,250,401,560,240","630,966,297,530","402,366,429,570","745,049,185,450","643,193,862,960","211,111,190,210","25,685,765,740","-80,314,437,460","147,915,701,020","1,486,814,347,990","351,054,914,570","385,112,341,710","214,667,951,000","57,311,753,000","-603,151,028,000"
			NetIncomeContinuousOperations,"2,039,361,447,980","2,039,361,447,980","1,250,401,560,240","630,966,297,530","402,366,429,570","745,049,185,450","643,193,862,960","-878,503,745,010","25,685,765,740","152,118,619,090","147,915,701,020","1,486,814,347,990","351,054,914,570","385,112,342,000","214,667,951,000","159,877,441,000","-603,151,028,000"
			NetIncomeDiscontinuousOperations,,,,,,,,"1,089,614,935,230",,"-232,433,056,540","104,401,407,320",,,,,"-102,565,688,000",
		MinorityInterests,"-87,212,912,460","-87,212,912,460","-80,600,165,630","-56,242,803,660","-45,817,568,980","-43,882,848,520","14,042,477,970","8,294,663,110","28,160,371,870","-3,533,317,040","-17,317,067,630","-15,312,330,890","-30,945,685,000","-29,009,571,720","3,323,922,000","-18,437,983,000","10,968,486,000"
BasicEPS,,,"17,492","8,593","5,331","10,484","9,824","3,133","766","-1,517","2,957","33,885","7,341","8,203","5,068","904","-13,969"
DilutedEPS,,,"17,492","8,593","5,331","10,484","9,824","3,133","766","-1,517","2,957","33,879","7,332","8,175","5,036","900","-13,969"
BasicAverageShares,,,"65,433,139","65,433,139","65,433,139","65,433,139","65,456,683","68,496,506","68,728,639","56,315,267","43,370,937","43,357,737","43,289,341","43,411,285","43,013,392","43,001,958","42,392,622"
DilutedAverageShares,,,"65,433,139","65,433,139","65,433,139","65,433,139","65,456,683","68,496,506","68,728,639","56,315,267","43,371,611","43,364,540","43,338,415","43,559,972","43,286,710","43,193,078","42,392,622"
TotalOperatingIncomeAsReported,"1,808,013,013,200","1,808,013,013,200","1,067,575,600,500","671,335,358,420","462,176,462,270","714,970,606,150","116,894,786,520","-926,332,633,990","-59,832,025,820","70,817,508,610","-27,394,358,600","186,874,229,440","203,713,750,870","286,812,198,210","107,158,239,000","133,030,417,000","-572,568,007,000"
RentExpenseSupplemental,,,,,,,,"9,036,352,000","12,723,560,000","14,625,010,000","7,402,630,000","8,679,871,000","5,415,528,000","8,168,759,000","12,450,261,000","13,738,114,000","8,714,124,000"
TotalExpenses,"18,316,056,503,040","18,316,056,503,040","12,485,644,648,110","10,623,411,084,960","9,635,229,667,610","8,443,281,258,430","6,204,666,135,170","6,127,155,144,520","7,629,162,866,140","5,403,404,132,270","5,043,859,260,770","5,584,310,690,270","5,385,145,948,740","4,886,945,032,000","4,843,277,927,000","5,169,771,181,000","5,721,612,466,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"1,952,148,535,520","1,952,148,535,520","1,169,801,394,610","574,723,493,870","356,548,860,590","701,166,336,930","657,236,340,930","219,405,853,320","53,846,137,610","-83,847,754,500","130,598,633,390","1,471,502,017,100","320,109,230,000","356,102,770,000","217,991,872,000","38,873,770,000","-592,182,542,000"
NormalizedIncome,"2,032,594,981,846.11","2,032,594,981,846.11","1,114,012,731,167.268","649,564,141,076.563","368,009,391,148.617","673,040,998,949","720,659,552,526.024","-517,946,605,634","250,495,151,024","340,287,527,007.4","353,773,530,573","1,529,414,173,107.2","320,138,210,967.345","325,539,015,038.011","245,709,819,698.791","105,870,759,975.409","-427,247,747,016.981"
InterestIncome,"43,378,706,000","43,378,706,000","12,208,588,000","12,009,583,000","18,382,213,000","18,136,500,000","17,845,715,000","32,856,653,000","40,486,577,000","24,936,264,000","17,474,570,000","20,611,015,000",,"41,056,477,000","47,076,810,000","51,759,785,000","41,557,532,000"
InterestExpense,"90,058,982,000","90,058,982,000","57,204,723,000","68,958,897,000","82,174,764,000","51,759,499,000","22,777,478,000","35,139,916,000","54,259,848,000","40,815,696,000","32,815,517,000","24,452,614,000",,"27,111,114,000","36,157,541,000","37,577,312,000","18,444,597,000"
NetInterestIncome,"-46,738,300,640","-46,738,300,640","-44,996,137,470","-56,978,254,830","-63,792,550,680","-33,709,524,960","-4,931,764,000","-2,283,262,560","-13,773,271,290","-15,909,432,350","-15,340,947,000","2,636,954,000","-10,651,296,720","13,945,362,820","10,919,269,000","14,182,473,000","23,112,935,000"
EBIT,"2,742,334,370,730","2,742,334,370,730","1,720,540,045,230","872,369,530,660","646,816,995,370","1,087,993,136,430","846,842,356,560","-785,553,976,470","93,318,498,860","240,183,679,570","216,834,682,460","2,053,873,884,210","58,735,446,470","449,711,426,640","257,917,016,000","236,174,323,000","-648,350,600,000"
EBITDA,"4,205,667,625,730"
ReconciledCostOfRevenue,"15,903,322,834,040","15,903,322,834,040","10,475,602,069,110","8,914,217,432,960","7,882,255,450,610","7,118,188,528,430","5,152,472,076,170","4,450,250,017,520","6,186,192,535,140","4,545,477,394,270","4,260,003,195,770","4,863,335,814,270","4,760,612,459,740","4,333,923,923,000","4,226,419,154,000","4,571,528,456,000","4,869,408,282,000"
ReconciledDepreciation,"1,463,333,255,000","1,463,333,255,000","1,252,163,753,000","1,083,488,123,000","855,996,160,000","582,239,983,000","459,882,869,000","455,006,400,000","663,443,156,000","532,693,611,770","430,580,089,720","454,545,412,910","438,629,827,890","375,491,846,690","476,468,586,000","598,420,962,000","618,278,841,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"1,952,148,535,520","1,952,148,535,520","1,169,801,394,610","574,723,493,870","356,548,860,590","701,166,336,930","657,236,340,930","-870,209,081,910","53,846,137,610","148,585,302,040","130,598,633,390","1,471,502,017,100","320,109,230,000","356,102,770,000","217,991,872,000","141,439,458,000","-592,182,542,000"
TotalUnusualItemsExcludingGoodwill,"-104,623,989,000","-104,623,989,000","74,212,363,000","-95,294,744,000","-16,082,603,000","39,117,299,000","-81,258,302,000","-464,726,222,000","-298,858,683,000","-253,775,781,000","-277,649,785,000","-79,050,172,000","-39,469,000","33,538,921,000","-28,633,606,000","44,182,826,000","-182,338,625,000"
TotalUnusualItems,"-104,623,989,000","-104,623,989,000","74,212,363,000","-95,294,744,000","-16,082,603,000","39,117,299,000","-81,258,302,000","-464,726,222,000","-298,858,683,000","-253,775,781,000","-277,649,785,000","-79,050,172,000","-39,469,000","33,538,921,000","-28,633,606,000","44,182,826,000","-182,338,625,000"
NormalizedEBITDA,"4,310,291,614,730","4,310,291,614,730","2,898,491,435,230","2,051,152,397,660","1,518,895,758,370","1,631,115,820,430","1,387,983,527,560","134,178,645,530","1,055,620,337,860","1,026,653,072,340","925,064,557,180","2,587,469,469,120","497,404,743,360","791,664,352,330","763,019,208,000","790,412,459,000","152,266,866,000"
TaxRateForCalcs,"0.231","0.231","0.248","0.215","0.287","0.281","0.219","0.242","0.342","0.245","0.196","0.267","0.266","0.089","0.032","0.195","0.095"
TaxEffectOfUnusualItems,"-24,177,542,673.89","-24,177,542,673.89","18,423,699,557.268","-20,454,096,793.437","-4,622,072,441.383","10,991,961,019","-17,835,090,403.976","-112,463,745,724","-102,209,669,586","-62,073,556,032.6","-54,474,887,817","-21,138,015,992.8","-10,488,032.655","2,975,166,038.011","-915,658,301.209","8,614,127,975.409","-17,403,830,016.981"
