name,ttm,12/31/21,12/31/20,12/31/19,12/31/18,12/31/17,12/31/16,12/31/15,12/31/14,12/31/13,12/31/12,12/31/11,12/31/10,12/31/09,12/31/08,12/31/07,12/31/06,12/31/05,12/31/04,12/31/03
NetIncomeFromContinuingAndDiscontinuedOperation,"184,239,149.97","101,890,171.25","149,673,020.43","51,253,825.33","580,345,487.56","838,007,109.71","1,030,939,678.34","584,612,104.27","37,641,329.54","29,139,772.67","36,937,242.84","36,472,571.76","27,394,412.96","33,825,138.11","39,422,943.64","32,734,509.11","24,221,569.42","13,323,814.91","22,028,058.56","19,326,237.14"
NormalizedIncome,"522,651,405.79","481,989,571.00","560,220,129.87","555,774,613.57","786,386,420.06","984,026,539.58","1,112,650,115.24","654,074,695.57","41,928,340.92","34,893,103.53","43,459,002.75","43,565,520.43","28,849,338.80","38,014,540.35","43,005,535.28","37,740,129.53","24,221,569.42","13,323,814.91","22,028,058.56","19,326,237.14"
InterestIncome,"-23,520,028.59","59,383,695.10","58,979,679.81","95,325,866.05","80,469,861.37","46,385,965.65","29,917,857.21","21,141,930.48","2,351,497.75","1,939,440.33","1,402,129.08","1,878,510.61","1,084,496.85","630,038.74","2,908,321.23","1,219,609.20","937,705.23","622,835.66","448,762.17",
InterestExpense,"563,594,034.13","389,648,394.41","352,621,952.04","373,273,451.39","191,086,276.63","84,799,632.55","71,012,027.75","42,620,903.58","24,312,802.58","18,820,478.62","16,223,904.92","13,928,552.46","10,973,123.55","9,608,498.49","15,226,419.85","4,855,405.52","4,717,535.21","4,002,342.75","2,166,101.50","1,655,037.20"
NetInterestIncome,"-125,297,310.91","-334,974,823.24","-300,808,475.17","-284,824,763.86","-117,791,859.91","-41,042,352.64","-42,135,971.30","-22,153,919.58","-22,236,006.53","-17,094,950.06","-14,996,073.82","-12,184,196.20","-10,108,311.72","-9,143,081.28","-12,468,079.48","-3,705,087.33","-3,913,048.19","-3,113,640.47","-1,380,746.29","-1,655,037.20"
EBIT,"660,688,087.79","437,483,294.88","519,062,878.17","425,167,792.81","836,995,828.34","1,079,018,090.18","1,268,425,455.64","722,844,740","82,766,436.19","72,191,092.80","74,552,045.42","69,366,058.52","53,811,671.12","59,074,459.66","73,495,937.61","50,812,319.64","39,105,593.89","22,838,763.13","30,510,509.08","25,232,236.57"
EBITDA,"660,688,087.79",,,,,,,,,,,,,,,,,,,
ReconciledCostOfRevenue,"16,141,785,006.51","8,429,245,133.18","5,027,919,449.91","3,345,453,675.45","3,630,656,659.47","2,944,707,825.90","2,525,265,054.54","1,499,385,846.38","646,342,245.91","519,474,295.08","404,872,294.51","450,464,297.10","345,143,642.59","287,343,226.94","341,597,319.54","240,631,522.36","183,474,134.62","152,500,119.50","132,152,915.63","112,007,590.70"
ReconciledDepreciation,,"804,932,936.62","600,338,716.38","522,952,450.48","350,292,368.11","258,429,495.78","128,176,209.92","67,414,645.78","25,894,822.02","21,097,295.06","17,184,981.07","15,373,987.10","15,305,634.80","13,617,494.77","13,441,069.86","9,520,004.64","7,728,208.69","4,430,577.45","3,312,296.82","2,700,244.58"
NetIncomeFromContinuingOperationNetMinorityInterest,"184,239,149.97","101,890,171.25","149,673,020.43","51,253,825.33","580,345,487.56","838,007,109.71","1,030,939,678.34","584,612,104.27","37,641,329.54","29,139,772.67","36,937,242.84","36,472,571.76","27,394,412.96","33,825,138.11","39,422,943.64","32,734,509.11","24,221,569.42","13,323,814.91","22,028,058.56","19,326,237.14"
TotalUnusualItemsExcludingGoodwill,"-564,020,426.37","-506,799,199.67","-465,146,443.18","-541,698,471.89","-228,790,051.65","-172,792,085.74","-94,729,054.20","-80,452,262.52","-5,279,924.17","-7,134,633.85","-8,435,562.78","-8,291,198.86","-1,681,886.18","-4,800,455.68","-4,248,838.42","-5,737,829.25",,,,
TotalUnusualItems,"-564,020,426.37","-506,799,199.67","-465,146,443.18","-541,698,471.89","-228,790,051.65","-172,792,085.74","-94,729,054.20","-80,452,262.52","-5,279,924.17","-7,134,633.85","-8,435,562.78","-8,291,198.86","-1,681,886.18","-4,800,455.68","-4,248,838.42","-5,737,829.25",,,,
NormalizedEBITDA,"1,224,708,514.16","1,749,215,431.17","1,584,548,037.73","1,489,818,715.18","1,416,078,248.10","1,510,239,671.70","1,491,330,719.76","870,711,648.30","113,941,182.38","100,423,021.71","100,172,589.27","93,031,244.48","70,799,192.10","77,492,410.11","91,185,845.89","66,070,153.53","46,833,802.58","27,269,340.58","33,822,805.90","27,932,481.15"
TaxRateForCalcs,0.4,0.25,0.117,0.069,0.099,0.155,0.137,0.137,0.188,0.194,0.227,0.145,0.135,0.127,0.157,0.128,0.215,0.367,0.218,0.199
TaxEffectOfUnusualItems,"-225,608,170.55","-126,699,799.92","-54,599,333.74","-37,177,683.65","-22,749,119.16","-26,772,655.87","-13,018,617.30","-10,989,671.22","-992,912.79","-1,381,302.99","-1,913,802.87","-1,198,250.19","-226,960.34","-611,053.44","-666,246.78","-732,208.83",0,0,0,0
