name,ttm,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
BasicAverageShares,,,"2,958,000,000","2,880,000,000","2,655,000,000","2,557,875,000","2,486,370,000","2,163,180,000","1,923,030,000","1,868,595,000","1,791,315,000","1,610,235,000","1,505,832,225","760,774,530","1,165,407,810","2,044,950,000","2,044,950,000"
DilutedAverageShares,,,"3,387,000,000","2,880,000,000","2,655,000,000","2,557,875,000","2,486,370,000","2,163,180,000","1,923,030,000","1,868,595,000","1,791,315,000","1,610,235,000","1,505,832,225","760,774,530","1,165,407,810","2,044,950,000","2,044,950,000"
TotalOperatingIncomeAsReported,"13,656,000,000","13,656,000,000","-6,523,000,000","1,994,000,000","-69,000,000","-388,073,000","-1,632,086,000","-667,340,000","-716,629,000","-186,689,000","-61,283,000","-394,283,000","-251,488,000","-146,838,000","-51,897,000","-78,504,000","-79,933,000"
TotalExpenses,"67,630,000,000","67,630,000,000","47,327,000,000","29,542,000,000","24,498,000,000","21,714,108,000","13,390,837,000","7,667,472,000","4,762,654,000","3,385,045,000","2,074,779,000","807,539,000","455,730,000","263,582,000","163,840,000","93,246,000","80,006,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"12,583,000,000","12,583,000,000","5,519,000,000","690,000,000","-862,000,000","-976,091,000","-1,961,400,000","-674,914,000","-888,663,000","-294,040,000","-74,014,000","-396,213,000","-254,411,000","-154,328,000","-55,740,000","-82,782,000","-78,157,000"
NormalizedIncome,"12,744,920,000","12,744,920,000","5,494,970,000","690,000,000","-738,330,000","-877,370,910","-1,961,400,000","-674,914,000","-888,663,000","-294,040,000","-74,014,000","-396,213,000","-252,691,100","-150,049,050","-54,800,750","-82,156,050","-78,246,050"
InterestIncome,"297,000,000","297,000,000","56,000,000","30,000,000","44,000,000","24,533,000","19,686,000","8,530,000","1,508,000","1,126,000","189,000","288,000","255,000","258,000","159,000","529,000","1,749,000"
InterestExpense,"191,000,000","191,000,000","371,000,000","748,000,000","685,000,000","663,071,000","471,259,000","198,810,000","118,851,000","100,886,000","32,934,000","254,000","43,000","992,000","2,531,000","3,747,000","0"
NetInterestIncome,"106,000,000","106,000,000","-315,000,000","-718,000,000","-641,000,000","-638,538,000","-451,573,000","-190,280,000","-117,343,000","-99,760,000","-32,745,000","34,000","212,000","-734,000","-2,372,000","-3,218,000","1,749,000"
EBIT,"13,910,000,000","13,910,000,000","6,714,000,000","1,902,000,000","20,000,000","-341,674,000","-1,737,773,000","-547,538,000","-756,773,000","-183,750,000","-38,492,000","-395,823,000","-253,879,000","-153,163,000","-53,183,000","-78,938,000","-78,047,000"
EBITDA,"17,657,000,000"
ReconciledCostOfRevenue,"60,609,000,000","60,609,000,000","40,217,000,000","24,906,000,000","20,509,000,000","17,419,247,000","9,536,264,000","5,400,875,000","3,122,522,000","2,316,685,000","1,557,234,000","383,189,000","142,647,000","86,013,000","102,408,000","15,883,000","9,000"
ReconciledDepreciation,"3,747,000,000","3,747,000,000","2,911,000,000","2,322,000,000","2,154,000,000","1,901,050,000","1,636,003,000","947,099,000","422,590,000","231,931,000","106,083,000","28,825,000","16,919,000","10,623,000","6,940,000","4,157,000","2,895,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"12,583,000,000","12,583,000,000","5,519,000,000","690,000,000","-862,000,000","-976,091,000","-1,961,400,000","-674,914,000","-888,663,000","-294,040,000","-74,014,000","-396,213,000","-254,411,000","-154,328,000","-55,740,000","-82,782,000","-78,157,000"
TotalUnusualItemsExcludingGoodwill,"-176,000,000","-176,000,000","27,000,000","0","-149,000,000","-135,233,000",,,,,,,"-2,646,000","-6,583,000","-1,445,000","-963,000","137,000"
TotalUnusualItems,"-176,000,000","-176,000,000","27,000,000","0","-149,000,000","-135,233,000",,,,,,,"-2,646,000","-6,583,000","-1,445,000","-963,000","137,000"
NormalizedEBITDA,"17,833,000,000","17,833,000,000","9,598,000,000","4,224,000,000","2,323,000,000","1,694,609,000","-101,770,000","399,561,000","-334,183,000","48,181,000","67,591,000","-366,998,000","-234,314,000","-135,957,000","-44,798,000","-73,818,000","-75,289,000"
TaxRateForCalcs,"0.08","0.08","0.11","0.25","0.17","0.27","0.4","0.4","0.4","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35"
TaxEffectOfUnusualItems,"-14,080,000","-14,080,000","2,970,000","0","-25,330,000","-36,512,910","0","0","0","0","0","0","-926,100","-2,304,050","-505,750","-337,050","47,950"
